Spearman_ρ_YL_Active_Fe	p-value_YL_Active_Fe	adjust_p_value_YL_Active_Fe	Spearman_ρ_Available_Fe	p-value_Available_Fe	adjust_p_value_Available_Fe	lm.R2_YL_Active_Fe	lm.adj.R2_YL_Active_Fe	lm.p.value_YL_Active_Fe	intercept_YL_Active_Fe	slope_YL_Active_Fe	lm.R2_Available_Fe	lm.adj.R2_Available_Fe	lm.p.value_Available_Fe	intercept_Available_Fe	slope_Available_Fe
[Polyangium]_brachysporum_group	0.242950256719265	0.252659966232654	0.611651732926154	0.141149577259075	0.510614721313996	0.751538568694544	0.0655401916617323	0.0230647458281747	0.227248913416232	-0.0752043108021191	0.0144198190425695	0.0312249007374964	-0.0128103310471628	0.408807498877745	-0.173588975014645	0.0549622661839699
01D2Z36	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	0
0319-6G20	-0.285061218946151	0.176961448053015	0.525852265067489	-0.21563942215761	0.311543756759515	0.581362903238737	0.0345004520906885	-0.00938589099609821	0.384862375068661	0.0657162950924933	-0.00234029365016376	0.0283079866782205	-0.0158598321091332	0.431939303182321	0.0936060767062474	-0.0117063254417954
0319-7L14	-0.41764769318241	0.0422845735044648	0.324259632339527	-0.255829454311799	0.22758483669338	0.51644318100322	0.116970797139845	0.0768331061007471	0.101877597606308	0.270262162343759	-0.0117640588116234	0.0423247638875528	-0.00120592866301306	0.334829141026947	0.325868674534526	-0.0390772393766801
053A03-B-DI-P58	-0.130700137717779	0.542699234958716	0.829895646039831	-0.217880954044394	0.306417975169925	0.576130023510217	0.00210895232678665	-0.0432497316583593	0.831265088519807	0.000789895302786564	-3.17252570764664e-05	0.0312399864558353	-0.0127945596143539	0.408692512388322	0.00337422554003691	-0.000674272314803501
11-24	-0.549096776482759	0.00545432093728136	0.122137829559836	-0.273083727298718	0.196662104804944	0.488420709016737	0.305281475122222	0.27370336035505	0.0051131739270416	0.178715588845678	-0.010901067158426	0.0554666414107047	0.0125333069293732	0.267923256729914	0.185091645160059	-0.0256591854286148
1959-1	0.195972212716839	0.358746976775415	0.719304585665	0.075725394197467	0.725079323841421	0.86871617028187	0.0149212403526174	-0.0298550669040818	0.569618725512323	-0.000257199507012334	0.000181704308635589	0.00236137110071363	-0.0429858393037994	0.821602007144539	-0.000241375689033066	0.000399165525266029
211ds20	0.256097972817923	0.227080286648063	0.592533318814708	-0.19588223252263	0.358972071835773	0.608312132543323	0.0375913587918136	-0.00615448853583112	0.363989812616217	-0.00404589319381896	0.000581038099882975	0.0260751911414709	-0.0181941183520986	0.450960026722865	0.0129018512046051	-0.00267228325432156
27F-1492R	-0.225864977600579	0.288585825819815	0.655074088068645	-0.268955780351707	0.203784654436572	0.493331962670774	0.026627015189318	-0.0176172113929858	0.446144746753493	0.0544094785292241	-0.00187000238294527	0.0326026251544054	-0.0113699827931215	0.398490783263872	0.0855639674544801	-0.0114265557624419
67-14	-0.556207884424989	0.0047664113562248	0.119541596814118	-0.492823013128336	0.0144141549732726	0.184442350372284	0.209422092493428	0.173486733061311	0.0245412578464257	0.669599093513112	-0.0294288500953505	0.25623590050219	0.222428441434108	0.0116063253040843	1.15961076980113	-0.179758806208606
A0839	-0.00726336504792584	0.973129271817013	0.991132143418413	-0.262056953396251	0.216073855488196	0.505267615673848	3.8554025653755e-05	-0.0454142389731802	0.977028096240704	0.00469116347677632	2.08543647915228e-05	0.0638379428911374	0.0212851221134619	0.233593145890307	0.0249415358828033	-0.00468607983331664
A21b	-0.0876887421109484	0.683685655051537	0.876013114981557	-0.252654355078581	0.233607228646657	0.521251716588805	0.00932286672435666	-0.0357079120608998	0.653561125302218	0.0173036291451462	-0.000587060772901041	0.118731625840011	0.0786739724691022	0.0991694560897112	0.0612400082671244	-0.0115691025989975
A4b	0.15702479338843	0.463704992469084	0.800983008103616	0.131607573268329	0.53987644152511	0.76508896273069	0.0175312333556205	-0.0271264378554876	0.537399764193281	1.03338890728236	0.0293898676710626	0.00763386069762141	-0.0374736910888502	0.684770996675879	0.853945330417034	0.107095605778664
AB1	-0.187638747852926	0.379942697081304	0.730257818243525	-0.385665243443616	0.0627083592962987	0.342007060088841	0.0966743137263576	0.0556140552593739	0.139182777346713	0.00870144628978987	-0.000633725570797163	0.218779657337597	0.183269641762034	0.0211756729263242	0.0252166562704993	-0.00526450196696729
Abditibacterium	0.241677268581471	0.255231838042912	0.615308561637677	0.206496726187173	0.332990827659667	0.59145962873261	0.0355809729715363	-0.00825625552975739	0.377386780537826	-0.00137850690264383	0.000351423341247455	0.0304439985158353	-0.0136267288243541	0.414822831330293	-0.00572576913707217	0.00179506707330405
Achromobacter	0.22139942339331	0.298477664272346	0.665998204621925	0.308849641268608	0.141980715643511	0.429906830125973	0.0385814675021563	-0.00511937488410918	0.357623878899694	0.0465348468570086	0.00375249340127606	0.0905285851554694	0.0491889753898089	0.153099149187589	-0.0536918315410661	0.0317418016458067
Acidibacter	-0.246846454980426	0.244892972748383	0.603717887177038	-0.502501643388164	0.0123327802572401	0.175742118665671	0.0563743908474477	0.0134823177041499	0.263928762068008	0.531846963932037	-0.0127452111152666	0.218234447619865	0.182699649784404	0.0213590185799829	1.00349054704992	-0.138476441731017
Acidovorax	-0.119808459574631	0.577103050078535	0.833781815208244	-0.0217880954044394	0.91950844661513	0.975519113414021	0.00222858579048035	-0.0431246603099522	0.826614076998496	0.00079831469793378	-3.26126768548291e-05	0.00121638899847613	-0.0441828660470476	0.87147267030607	0.00105824671962488	-0.000133050389877615
Acinetobacter	-0.00725425245440511	0.973162971909586	0.991132143418413	-0.0702908595830805	0.744140950649175	0.883667378895895	0.0019967000906266	-0.0433670862688904	0.835755892490651	0.00274765825169611	-0.000109243124147599	0.000304549238616384	-0.0451361530687193	0.935493132880002	0.00271938416881203	-0.000235599623945377
Actinocorallia	-0.149572023680132	0.485444247335525	0.800983008103616	-0.32930974619517	0.116100115002547	0.414887857205456	0.0193535475000134	-0.0252212912499861	0.516782455169651	0.0295752836325129	-0.00105600506063711	0.0876831514568057	0.0462142037957515	0.160035165092701	0.0726706945367275	-0.0124122903019301
Actinophytocola	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	0
Actinoplanes	-0.0951366755163797	0.658346438242096	0.874000831863907	-0.124318503632505	0.562741586466471	0.786608170450478	0.0562630346262699	0.0133658998365549	0.264414978478531	-0.0740753347799795	0.0219016893528593	0.0204849751658639	-0.0240384350538696	0.504652631258381	-0.17856804120291	0.072977990455661
Actinotalea	-0.124229073281688	0.563024795569825	0.832232830513976	-0.209512110499246	0.325821593274762	0.589214889982598	0.00212322112593215	-0.0432348142774346	0.830703252627959	0.000628789048881944	0.000165614716136939	0.00191848381656702	-0.0434488578281345	0.838963167314775	0.00592009964851797	-0.000869337716912206
Adhaeribacter	-0.278938233547226	0.186854146273913	0.547465185578239	-0.304243750403908	0.148333447138364	0.436103482690889	0.0521458655547048	0.00906158671628232	0.283161076586158	0.450393428443124	-0.0132552085982928	0.0760878875228381	0.0340918824102397	0.192001267647713	0.702991601443612	-0.088418375363612
Aeromicrobium	0.0339499528287384	0.874861617531975	0.953589065367677	0.324336121288612	0.122047490095678	0.420123504824406	0.120381551830032	0.0803988950950332	0.0966983402515119	-0.12146914264492	0.0447784482053484	0.24557959653979	0.211287760018871	0.0137983923441947	-1.20794012847852	0.353177763547851
Agromyces	0.476793246441499	0.0184887916597762	0.222932160974609	0.36181397636266	0.0823321376774436	0.368730359455408	0.255303697963759	0.221453866053021	0.0117840918545075	0.0046471645842815	0.00749760758070084	0.143834601190486	0.10491799215369	0.0675868146817169	-0.0572013823085582	0.031076634581828
Ahniella	-0.0915315452256104	0.670568279836218	0.876013114981557	-0.00263457434645426	0.990251936642469	0.991990771700739	0.000176209294068233	-0.0452703266471104	0.95091177872509	0.0367611757030088	0.000170527923237409	0.000256160768935748	-0.0451867410142943	0.940829735701965	0.0432375878167133	-0.00113539126200342
AKAU3564_sediment_group	-0.245654275681634	0.247252819117891	0.603717887177038	-0.220341899413802	0.300850678162831	0.575101753683216	0.078495228292104	0.0366086477599269	0.184834169101629	0.00410981884731155	-0.000330120157550922	0.0412483327503567	-0.00233128848826336	0.341186765490843	0.00663265213905319	-0.0013214835333607
AKAU4049	-0.187951523387373	0.379134491248102	0.730257818243525	-0.170306716086944	0.426248498909896	0.676602047636722	0.0171002406710186	-0.0275770211166624	0.542488243985098	0.0691710524733501	-0.00146763511788319	0.0309833706205146	-0.0130628398058257	0.410654735164141	0.101928778665774	-0.0109091133881225
AKIW781	-0.35748480321224	0.0863415759278733	0.45496736974233	-0.0496191524263885	0.817899076683488	0.915654380264131	0.0994132529649594	0.058477491736094	0.133415699312952	0.259714498241859	-0.0107811706843888	0.0027393519233683	-0.0425906775346605	0.80809448354769	0.199717883502818	-0.00988270507398583
AKYG1722	-0.611492488442769	0.00149896857442445	0.0939853296164131	-0.265183351677997	0.210444639316189	0.496329080433172	0.408547656705107	0.381663459282612	0.000772681346222074	0.523948153904136	-0.0234300148791772	0.0809479966604837	0.0391729055995966	0.177831107911248	0.548101788038042	-0.0575920312288452
AKYG587	-0.107774046082878	0.616187198307411	0.850696076418108	0.0955477779428273	0.656958054821533	0.847556996652471	0.000607143341267802	-0.0448198046886745	0.909011779332206	0.00341294325545121	0.000104049969013027	0.0490016731205619	0.00577447644422391	0.298558719985118	-0.0176885306632174	0.00516190410898064
AKYH767	-0.123240079096441	0.566161008958586	0.832232830513976	-0.113256818478273	0.598246483411023	0.814820240356512	0.00979471237728041	-0.0352146188782978	0.645449438564766	0.00571101830725587	-0.000266996268962681	0.0238155772175164	-0.0205564419998692	0.471527204486612	0.0130159009348772	-0.00229904803803031
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.583369833670328	0.0027692001297387	0.116145920806219	0.57565873372583	0.00324600946800613	0.124413395846304	0.263749992493639	0.230284083061531	0.0102630204451734	0.239266153700714	0.053057880744806	0.261264176240795	0.227685275160832	0.0106902787071908	-0.505193074380322	0.291609551310002
alphaI_cluster	-0.348533700580744	0.0950941255802561	0.45496736974233	-0.457550003493228	0.0245682967141824	0.217219112869259	0.125927112074657	0.0861965262598687	0.0888408414291352	0.00281475983569203	-0.000245149713772695	0.278657911647737	0.245869634904453	0.00801943539337987	0.00910627312055665	-0.00201379657899507
Alsobacter	0.0321595425996863	0.881414337033292	0.955239252477922	0.104541252166415	0.626867228009542	0.827680122422713	0.0076957992091795	-0.0374089371904032	0.683559053490966	0.000292777163519176	0.000175265406226633	0.0211803584329783	-0.0233114434564317	0.497431102660917	-0.00491512946212795	0.00160562504394679
Altererythrobacter	0.113601765234625	0.597125161851406	0.845141030430771	-0.0642141985101615	0.765628324894206	0.900308661689192	0.0289217477806543	-0.0152181727747704	0.426918013237811	0.184309210198548	0.0097405348822092	0.00839021574866925	-0.0366829562627549	0.670341832034603	0.152750295578699	0.0289711172692834
Alterococcus	-0.143758149516531	0.502751855199655	0.805301179953681	-0.0269247130637557	0.90061511394137	0.960349789866053	0.00043173659537969	-0.0450031844684666	0.923228037959593	0.00226290076374719	-3.23877434841411e-05	0.000580909255069169	-0.0448472312333368	0.910991469097784	0.00284337627786411	-0.000207459605941042
Amb-16S-1323	-0.368224320905236	0.0766550794838082	0.44616094050005	-0.602155557057401	0.00184927556695574	0.105408707316477	0.122810210687941	0.0829379475373925	0.0931740918442742	0.104340329591995	-0.00654017662318781	0.40123217168809	0.374015452219367	0.00089126541665342	0.32163318710949	-0.0652797156525778
Aminobacter	0.0125813537824673	0.953471805978031	0.978439971110025	0.121836880484202	0.570624038160422	0.79155148656324	0.00679886654507005	-0.0383466395210632	0.701693280661459	0.00289967733045462	0.000570407533099205	0.04305607657855	-0.000441374486061186	0.33059605414232	-0.0256082469109624	0.00792669890049365
Ammoniphilus	0.150544890969768	0.482577687195984	0.800983008103616	-0.246677122896896	0.245227256643156	0.526242991028864	0.0554392606655865	0.0125046816049313	0.268044849241771	0.013223776658603	0.0045580950206045	0.0260343752806195	-0.0182367894793523	0.45131929469617	0.130278767331243	-0.0172487004863848
Amphiplicatus	0.0427630205240291	0.842730672270457	0.944216414713962	0.0782539107928376	0.716263504785573	0.86871617028187	0.000472123468500194	-0.0449609618283862	0.919728275741553	0.00598166132975672	9.0970263699598e-05	6.39714861957541e-05	-0.0453876661735226	0.97041179965437	0.00763602541142389	-0.000184915374056608
Amycolatopsis	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	0
Anaerolinea	0.302411649193013	0.150915648965335	0.487400572716099	0.222209814165867	0.296667089283934	0.572339276864697	0.157289962992945	0.118984961310806	0.0550174362958693	-0.0033953080059057	0.000435168473814606	0.0531594867712397	0.0101212816244779	0.278402726927093	-0.00524476744077813	0.00139702909371494
Anaeromyxobacter	-0.0820042868745572	0.70325241436073	0.883738340218408	-0.342961855652941	0.100866096773115	0.392760108466303	0.000138929653607024	-0.0453093008166834	0.956407245005389	0.0489410363074638	0.000175089253116315	0.106216960220664	0.0655904584125122	0.120142716098861	0.165002265757271	-0.026734193611108
Ancylobacter	0.325615368821824	0.120497080922162	0.456437174352107	0.203051278246305	0.341297445755302	0.597747202482052	0.158550087759128	0.120302364475452	0.053965661040139	-0.0272206196233877	0.00374513331963517	0.0792800436310685	0.0374291365233897	0.182561264925401	-0.0542683449632321	0.0146242674297682
