ID	RhizocompartmentsSystemSpecies	Rhizocompartments	Days	Species	System	RhiSystem	SystemSpecies	SpeciesDays	SystemSpeciesDays	RhizocompartmentsSystemSpeciesDays
IM1_1	IM	Rhizosphere	46	Maize	Intercropping	RIn	IM	Maize46	IM46	RIM46
IM1_2	IM	Rhizosphere	46	Maize	Intercropping	RIn	IM	Maize46	IM46	RIM46
IM1_3	IM	Rhizosphere	46	Maize	Intercropping	RIn	IM	Maize46	IM46	RIM46
IM2_1	IM	Rhizosphere	53	Maize	Intercropping	RIn	IM	Maize53	IM53	RIM53
IM2_2	IM	Rhizosphere	53	Maize	Intercropping	RIn	IM	Maize53	IM53	RIM53
IM2_3	IM	Rhizosphere	53	Maize	Intercropping	RIn	IM	Maize53	IM53	RIM53
IM3_1	IM	Rhizosphere	63	Maize	Intercropping	RIn	IM	Maize63	IM63	RIM63
IM3_2	IM	Rhizosphere	63	Maize	Intercropping	RIn	IM	Maize63	IM63	RIM63
IM3_3	IM	Rhizosphere	63	Maize	Intercropping	RIn	IM	Maize63	IM63	RIM63
IM4_1	IM	Rhizosphere	73	Maize	Intercropping	RIn	IM	Maize73	IM73	RIM73
IM4_2	IM	Rhizosphere	73	Maize	Intercropping	RIn	IM	Maize73	IM73	RIM73
IM4_3	IM	Rhizosphere	73	Maize	Intercropping	RIn	IM	Maize73	IM73	RIM73
IP1_1	IP	Rhizosphere	46	Peanut	Intercropping	RIn	IP	Peanut46	IP46	RIP46
IP1_2	IP	Rhizosphere	46	Peanut	Intercropping	RIn	IP	Peanut46	IP46	RIP46
IP1_3	IP	Rhizosphere	46	Peanut	Intercropping	RIn	IP	Peanut46	IP46	RIP46
IP2_1	IP	Rhizosphere	53	Peanut	Intercropping	RIn	IP	Peanut53	IP53	RIP53
IP2_3	IP	Rhizosphere	53	Peanut	Intercropping	RIn	IP	Peanut53	IP53	RIP53
IP2_4	IP	Rhizosphere	53	Peanut	Intercropping	RIn	IP	Peanut53	IP53	RIP53
IP3_1	IP	Rhizosphere	63	Peanut	Intercropping	RIn	IP	Peanut63	IP63	RIP63
IP3_3	IP	Rhizosphere	63	Peanut	Intercropping	RIn	IP	Peanut63	IP63	RIP63
IP3_4	IP	Rhizosphere	63	Peanut	Intercropping	RIn	IP	Peanut63	IP63	RIP63
IP4_1	IP	Rhizosphere	73	Peanut	Intercropping	RIn	IP	Peanut73	IP73	RIP73
IP4_2	IP	Rhizosphere	73	Peanut	Intercropping	RIn	IP	Peanut73	IP73	RIP73
IP4_3	IP	Rhizosphere	73	Peanut	Intercropping	RIn	IP	Peanut73	IP73	RIP73
MM1_1	MM	Rhizosphere	46	Maize	Monocropping	RMo	MM	Maize46	MM46	RMM46
MM1_2	MM	Rhizosphere	46	Maize	Monocropping	RMo	MM	Maize46	MM46	RMM46
MM1_3	MM	Rhizosphere	46	Maize	Monocropping	RMo	MM	Maize46	MM46	RMM46
MM2_2	MM	Rhizosphere	53	Maize	Monocropping	RMo	MM	Maize53	MM53	RMM53
MM2_3	MM	Rhizosphere	53	Maize	Monocropping	RMo	MM	Maize53	MM53	RMM53
MM2_4	MM	Rhizosphere	53	Maize	Monocropping	RMo	MM	Maize53	MM53	RMM53
MM3_2	MM	Rhizosphere	63	Maize	Monocropping	RMo	MM	Maize63	MM63	RMM63
MM3_3	MM	Rhizosphere	63	Maize	Monocropping	RMo	MM	Maize63	MM63	RMM63
MM3_4	MM	Rhizosphere	63	Maize	Monocropping	RMo	MM	Maize63	MM63	RMM63
MM4_1	MM	Rhizosphere	73	Maize	Monocropping	RMo	MM	Maize73	MM73	RMM73
MM4_2	MM	Rhizosphere	73	Maize	Monocropping	RMo	MM	Maize73	MM73	RMM73
MM4_3	MM	Rhizosphere	73	Maize	Monocropping	RMo	MM	Maize73	MM73	RMM73
MP1_1	MP	Rhizosphere	46	Peanut	Monocropping	RMo	MP	Peanut46	MP46	RMP46
MP1_2	MP	Rhizosphere	46	Peanut	Monocropping	RMo	MP	Peanut46	MP46	RMP46
MP1_3	MP	Rhizosphere	46	Peanut	Monocropping	RMo	MP	Peanut46	MP46	RMP46
MP2_1	MP	Rhizosphere	53	Peanut	Monocropping	RMo	MP	Peanut53	MP53	RMP53
MP2_2	MP	Rhizosphere	53	Peanut	Monocropping	RMo	MP	Peanut53	MP53	RMP53
MP2_3	MP	Rhizosphere	53	Peanut	Monocropping	RMo	MP	Peanut53	MP53	RMP53
MP3_1	MP	Rhizosphere	63	Peanut	Monocropping	RMo	MP	Peanut63	MP63	RMP63
MP3_2	MP	Rhizosphere	63	Peanut	Monocropping	RMo	MP	Peanut63	MP63	RMP63
MP3_4	MP	Rhizosphere	63	Peanut	Monocropping	RMo	MP	Peanut63	MP63	RMP63
MP4_1	MP	Rhizosphere	73	Peanut	Monocropping	RMo	MP	Peanut73	MP73	RMP73
MP4_2	MP	Rhizosphere	73	Peanut	Monocropping	RMo	MP	Peanut73	MP73	RMP73
MP4_3	MP	Rhizosphere	73	Peanut	Monocropping	RMo	MP	Peanut73	MP73	RMP73
