Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,ASV
c1de433557b1e04e16ee95c950cc92ca,d__Bacteria,p__Firmicutes,c__D8A-2,o__D8A-2,f__D8A-2,g__D8A-2,s__uncultured_bacterium,ASV6198
b3927b9d7621fdf9c87b34cdf1195519,d__Bacteria,p__Chloroflexi,c__KD4-96,o__KD4-96,f__KD4-96,g__KD4-96,,ASV1762
b0ae4412ffde6dd46022f08f4853c12f,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Gallionellaceae,g__unclassified_f__Gallionellaceae,,ASV4722
4a36802216bc9a67b9243fb2d2bbf8be,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,,ASV5438
faea0ab8c113181be46aa17baa29f864,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium,ASV3154
4287fc45ae8b43e9e48430e37aaaed25,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__uncultured_o__Vicinamibacterales,g__uncultured_o__Vicinamibacterales,,ASV4177
53676ae5441257a7f337b11c0e36d1f6,d__Bacteria,p__Myxococcota,c__Polyangia,o__mle1-27,f__mle1-27,g__mle1-27,s__uncultured_Myxococcales,ASV3963
c88779644e55e7b5fefc18f6287b0003,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Pseudorhodoferax,s__uncultured_bacterium,ASV1623
6d347099fb7adbba8e30b842c8c39afb,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17,g__env.OPS_17,,ASV3513
9c44e2e4b73534317b6199eba4fe4805,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__unclassified_c__Anaerolineae,f__unclassified_c__Anaerolineae,g__unclassified_c__Anaerolineae,,ASV2252
1ee788b8ac8e6c5b08fe8bb693c751f2,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_funiculus,ASV658
69175249202fe9b924f14bab526aabd3,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__JG30-KF-CM45,s__uncultured_bacterium,ASV4796
7503fd65af89c403e049d09dadea016b,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadales,g__Saccharimonadales,,ASV813
554a83c3e45f177be658b342f0772484,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,,ASV1546
52a66c94c9e1cfd607451af4483d77f1,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__uncultured_o__Vicinamibacterales,g__uncultured_o__Vicinamibacterales,,ASV2959
58abff14070720c0c2ee632db174efee,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,,ASV5404
3327a773ebaed8d7d881b95709de1145,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadales,g__Saccharimonadales,,ASV5797
3ac5af6dab9b8cd41c2494fbf1c434d3,d__Bacteria,p__Chloroflexi,c__TK10,o__TK10,f__TK10,g__TK10,,ASV3044
8619a73458022cee7bdf81b50beb843a,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Subgroup_17,f__Subgroup_17,g__Subgroup_17,s__uncultured_Holophaga,ASV4858
bd04e8104dcfe09568743c149bac06d1,d__Bacteria,p__Acidobacteriota,c__Subgroup_25,o__Subgroup_25,f__Subgroup_25,g__Subgroup_25,s__uncultured_bacterium,ASV4740
16b0f0a507952888fb32e7f4bb671b0f,d__Bacteria,p__Chloroflexi,c__TK10,o__TK10,f__TK10,g__TK10,s__uncultured_bacterium,ASV5408
e2c73b0c9f1a2580961835629cc4bcc6,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unclassified_f__Gemmatimonadaceae,,ASV9590
abd7140674413d936859d19e0222d69f,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,,ASV8628
9d0e6a185cd77a9a9ec01450e88a60e0,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__Luteolibacter_sp.,ASV3167
bad51e19ec0a1d8324bdcb08c335fb74,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__uncultured_f__Roseiflexaceae,s__uncultured_bacterium,ASV3594
2bf94508aa5738e43ae118f16efd2cb2,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__JG30-KF-CM45,s__uncultured_Chloroflexi,ASV4524
761bcf71bfc81c3926a75ff056123014,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17,g__env.OPS_17,,ASV1654
57a7fbfb655fb920b77632005bb96de2,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__unclassified_f__Blastocatellaceae,,ASV2489
03f7064154827dda110e4dffb56d263d,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Variovorax,,ASV4828
cc3efa393737d5851e1dbcd64ba8d82e,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadales,g__Saccharimonadales,,ASV4588
b7eaca89a377964817b6348d8a7624b5,d__Bacteria,p__Armatimonadota,c__uncultured_p__Armatimonadota,o__uncultured_p__Armatimonadota,f__uncultured_p__Armatimonadota,g__uncultured_p__Armatimonadota,s__uncultured_bacterium,ASV3327
bb0a8acc6fa2f1589ded3ca2ec88f490,d__Bacteria,p__Patescibacteria,c__WWE3,o__WWE3,f__WWE3,g__WWE3,s__bacterium_enrichment,ASV2126
99e3977c29bf8280e178c793f62ce107,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Ohtaekwangia,s__uncultured_bacterium,ASV5055
0e38e23e86195b405a221692a190029c,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__BIrii41,g__BIrii41,,ASV2876
7b526857343436237c3cca9ff499efdd,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__uncultured_o__Vicinamibacterales,g__uncultured_o__Vicinamibacterales,s__uncultured_bacterium,ASV660
cbf1967a775868c542435609b478a934,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__uncultured_f__Caldilineaceae,s__uncultured_Anaerolineaceae,ASV7720
